# HR   HD     Vmag  B-V   SpType            
  530  11154  5.86  0.74  K1III+A6V         
  531  11171  4.67  0.33  F3III             
  532  11183  6.34  1.22  K2-3III           
  533  11241  5.52  -0.18 B1.5V             
  534  11257  5.94  0.3   "F2V w"           
  535  11262  6.37  0.52  F8V               
  536  11291  5.79  -0.07 B9IIIpHgMn        
  537  11332  6.14  1.01  K1IV              
  538  11335  6.26  ""    A3V               
  539  11353  3.73  1.14  K0IIIBa0.1        
  540  11408  6.45  0.18  A5m               
  541  11413  5.94  0.14  A1Vp              
  542  11415  3.38  -0.15 B3III             
  543  11428  5.4   1.32  gK1               
  544  11443  3.41  0.49  F6IV              
  545  11503  4.83  ""    B9V               
  546  11502  4.75  -0.04 A1pSi             
  547  11522  5.8   0.27  F0IIIn            
  548  11529  4.99  -0.1  B8III             
  549  11559  4.62  0.94  K0III             
  550  11604  6.06  0.34  F0IV              
  551  11613  6.24  1.25  K2                
  552  11624  6.26  1.17  K0                
  553  11636  2.64  0.13  A5V               
  554  11643  6.1   1.12  K1II              
  555  11695  4.41  1.59  M4III             
  556  11727  5.89  1.63  gM0               
  557  11749  5.67  1.06  K0III             
  558  11753  5.11  -0.06 A3V               
  559  11763  5.74  1.19  K1III             
  560  11803  6.01  0.56  F7V+G0V           
  561  11857  6.02  -0.04 B5III             
  562  11905  6.78  -0.06 B8III             
  563  11909  5.1   0.92  K1p               
  564  11928  5.82  1.6   M2III             
  565  11930  4.85  1.42  K4III             
  566  11937  3.7   0.85  G8IIIbCNIV        
  567  11946  5.26  0.01  A0Vn              
  568  11949  5.69  1.01  K0IV              
  569  11973  4.79  0.28  F0V               
  570  11977  4.69  0.95  G8.5III           
  571  11995  6.06  0.37  F0IV-V            
  572  12005  6.04  1.14  K0                
  573  12042  6.1   0.48  F6-7V             
  574  12055  4.83  0.88  G8III             
  575  12111  4.54  0.16  A3IV              
  576  12135  6.35  1.02  K0III             
  577  12139  5.87  1.03  K0III-IV          
  578  12140  6.09  0.19  A6V               
  579  12173  6.23  ""    A5III             
  580  12216  3.98  -0.01 A2V               
  581  12230  5.38  0.31  F0Vn              
  582  12235  5.88  0.62  G2IV              
  583  12255  5.41  1.65  M1III             
  584  12270  6.37  0.9   G8II-III          
  585  12274  4.0   1.57  M0III             
  586  12279  6.0   0.03  A1Vn              
  587  12292  5.51  1.52  M3III             
  588  12296  5.57  1.06  K1III             
  589  12301  5.58  0.38  B8Ib              
  590  12303  5.04  -0.08 B8III             
  591  12311  2.86  0.28  F0V               
  592  12339  5.22  0.95  G8III             
  593  12363  6.16  0.44  F5-6IV-V          
  594  12438  5.35  0.88  G5III             
  595  12446  5.23  ""    A3m               
  596  12447  4.33  0.03  A0pSiSr           
  597  12467  6.05  0.11  A1V               
  598  12468  6.52  0.0   A0V               
  599  12471  5.5   0.03  A2V               
  600  12477  6.1   1.17  K1III             
  601  12479  5.94  1.59  M2III             
  602  12524  5.14  1.49  K5III             
  603  12533  2.26  1.37  K3-IIb            
  654  13854  6.48  0.28  B1Iab             
  604  12534  4.84  0.03  B8V+A0V           
  605  12558  5.63  0.54  F8IV              
  606  12563  6.42  0.14  A3III             
  607  12573  5.43  0.15  A5III             
  608  12583  5.86  0.98  G3IV              
  609  12594  6.21  1.42  gK4               
  610  12641  5.93  0.88  G5II-III+G5V      
  611  12642  5.62  1.59  K5I:              
  612  12767  4.69  -0.17 B9.5pSi           
  613  12869  5.03  0.11  A2m               
  614  12872  6.31  1.65  M2III:            
  615  12885  6.15  -0.03 B9IV-Vn           
  616  12923  6.28  0.9   K0                
  617  12929  2.0   1.15  K2-IIICa-1        
  618  12953  5.67  0.61  A1Ia              
  619  13013  6.42  ""    G8III-IV          
  620  13041  4.82  0.12  A5IV-V            
  621  13137  6.31  0.95  G8III             
  622  13161  3.0   0.14  A5III             
  623  13174  4.98  0.33  F2III             
  624  13201  6.43  ""    F5V               
  625  13215  6.1   1.61  M2III             
  626  13222  6.29  0.91  G8III             
  627  13267  6.36  0.33  B5Ia              
  628  13294  5.63  -0.02 B9V               
  629  13295  6.1   -0.07 A1Vn              
  630  13305  6.48  0.29  F4III             
  631  13325  5.7   1.65  M3IIIab           
  632  13336  5.85  1.19  K1III             
  633  13363  6.02  1.36  gK4               
  634  13372  6.23  0.11  A1m               
  635  13421  5.63  0.56  G0IV              
  636  13423  6.32  0.9   G8III             
  637  13445  6.12  0.82  K1V               
  638  13456  6.01  0.39  F5V               
  639  13468  5.93  0.97  gG9               
  640  13474  6.07  0.63  G0II-III+B9V      
  641  13476  6.44  0.6   A3Iab             
  642  13480  4.94  0.78  G5III+F5V         
  643  13520  4.83  1.48  K3.5IIIBa0.5:     
  644  13522  5.96  1.37  K0                
  645  13530  5.31  0.93  G8III:            
  646  13555  5.27  0.43  F5V               
  647  13594  6.06  0.4   F4V               
  648  13596  5.71  1.55  M0III             
  649  13611  4.37  0.89  G6II-IIICN-2      
  650  13612  5.54  0.57  F8V               
  651  13692  5.86  1.01  G9III             
  652  13709  5.28  -0.02 B9V               
  653  13818  6.33  ""    G9III-IV          
  655  13869  5.28  -0.01 A0V               
  656  13871  5.79  0.44  F6IV-V            
  657  13872  5.58  0.49  F6V               
  658  13936  6.55  -0.02 A0V               
  659  13940  5.91  0.97  G8III             
  660  13974  4.87  0.61  G0.5V             
  661  13982  5.75  1.17  K3III             
  662  13994  5.98  1.05  G7III             
  663  14028  6.7   ""    M7-8Se            
  664  14055  4.01  0.02  A1Vnn             
  665  14067  6.55  1.02  G9III             
  666  14129  5.51  0.96  G8.5III           
